Артикулы с дубликатами и даты первого появления (от ранней к поздней):

Артикул: 2103297, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649243
Артикул: 2103298, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649318
Артикул: 1435940, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649393
Артикул: 1067561, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649467
Артикул: 1067564, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649546
Артикул: 519328, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649621
Артикул: 391384, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649695
Артикул: 1323566, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649770
Артикул: 2111754, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649844
Артикул: 1323561, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649919
Артикул: 2103296, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.649993
Артикул: 980819, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650067
Артикул: 727854, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650141
Артикул: 2111753, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650215
Артикул: 2103299, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650289
Артикул: 1323567, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650365
Артикул: 366661, Кол-во с пробелами: 1, С даты: 2025-07-29 16:53:56.650439
Артикул: 1383246, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220548
Артикул: 366668, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220645
Артикул: 390857, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220722
Артикул: 2103300, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220797
Артикул: 2103302, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220873
Артикул: 2103301, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.220949
Артикул: 1383245, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221024
Артикул: 2112355, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221099
Артикул: 390864, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221174
Артикул: 1383249, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221248
Артикул: 390850, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221322
Артикул: 390863, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221400
Артикул: 390865, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221475
Артикул: 1383242, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221555
Артикул: 566875, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221631
Артикул: 2087632, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221705
Артикул: 2012120, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221780
Артикул: 2112356, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221854
Артикул: 1383248, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.221928
Артикул: 1383250, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.222002
Артикул: 366669, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.222077
Артикул: 390849, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.222151
Артикул: 404272, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.222225
Артикул: 1383247, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:18.222300
Артикул: 2015007, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.851779
Артикул: 2015005, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.851876
Артикул: 1621433, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.851953
Артикул: 2015006, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.852029
Артикул: 1119076, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.852105
Артикул: 1621430, Кол-во с пробелами: 1, С даты: 2025-07-29 16:55:59.852182
